,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse
0,1660633200000,SINGLE_FAMILY,3441.24,"745 E Villa Rita Dr, Phoenix, AZ 85022",https://photos.zillowstatic.com/fp/c0e15214efc5a98196c4464dacd8def1-p_e.jpg,365000,3.0,-112.06354,33.650833,RECENTLY_SOLD,8002200,,-1,2.0,1088.0,USA,USD,sqft,True,,
1,1660633200000,SINGLE_FAMILY,5283.0,"1318 E Sheena Dr, Phoenix, AZ 85022",https://photos.zillowstatic.com/fp/d89609b12bc348bb3c5b70ef975fd417-p_e.jpg,540000,3.0,-112.05341,33.614292,RECENTLY_SOLD,8009445,,-1,2.0,1759.0,USA,USD,sqft,True,True,True
2,1660633200000,SINGLE_FAMILY,4225.32,"4629 E Hartford Ave, Phoenix, AZ 85032",https://photos.zillowstatic.com/fp/2afbe0291bbb58f120d608aca75409c5-p_e.jpg,565000,3.0,-111.980606,33.64446,RECENTLY_SOLD,8019224,,-1,2.0,1315.0,USA,USD,sqft,True,,
3,1660633200000,SINGLE_FAMILY,10597.0,"4625 E Kathleen Rd, Phoenix, AZ 85032",https://photos.zillowstatic.com/fp/47eb84e69fce48c6f795c32536592a7f-p_e.jpg,759000,4.0,-111.98107,33.629936,RECENTLY_SOLD,8020237,,-1,3.0,2097.0,USA,USD,sqft,True,,
4,1660633200000,SINGLE_FAMILY,9844.56,"14040 N 57th St, Scottsdale, AZ 85254",https://photos.zillowstatic.com/fp/91d9e809f97a7a5262a0aa3638ca6840-p_e.jpg,610000,3.0,-111.95972,33.614464,RECENTLY_SOLD,8031071,,-1,2.0,1496.0,USA,USD,sqft,True,,
5,1660633200000,SINGLE_FAMILY,2.1179981634527,"5703 W Dobbins Rd, Laveen, AZ 85339","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=33.36228561401367,-112.1823501586914&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=LnCBG1Kx_ItHx1bhg-adudFeYHA=",1530000,,-112.18235,33.362286,RECENTLY_SOLD,8129270,,-1,2.0,1875.0,USA,USD,acres,,,
6,1660633200000,SINGLE_FAMILY,10193.04,"1839 E South Mountain Ave, Phoenix, AZ 85042",https://photos.zillowstatic.com/fp/c0d4adb2fcde6cee30e66b96b5f6fe9b-p_e.jpg,394800,4.0,-112.043175,33.37026,RECENTLY_SOLD,8141260,,-1,2.0,1432.0,USA,USD,sqft,True,,
7,1660633200000,SINGLE_FAMILY,5009.4,"3543 E Windmere Dr, Phoenix, AZ 85048",https://photos.zillowstatic.com/fp/bf2f3bd701e33b54af19127bdf0a45f4-p_e.jpg,495000,3.0,-112.005264,33.303806,RECENTLY_SOLD,8163301,,-1,2.0,1434.0,USA,USD,sqft,True,,
8,1660633200000,SINGLE_FAMILY,8538.0,"14402 S Cholla Canyon Dr, Phoenix, AZ 85044",https://photos.zillowstatic.com/fp/b964cd82226477f3f744be470bb83431-p_e.jpg,455000,3.0,-111.99206,33.316753,RECENTLY_SOLD,8164686,,-1,2.0,1438.0,USA,USD,sqft,True,,
9,1660633200000,SINGLE_FAMILY,7234.0,"8917 S 41st Gln, Laveen, AZ 85339",https://photos.zillowstatic.com/fp/dde8518366878609f2761a1945063452-p_e.jpg,515000,4.0,-112.149,33.36545,RECENTLY_SOLD,81954891,,-1,3.0,3395.0,USA,USD,sqft,True,,
